"","SubNo","TrialNo","Mapping","State","Resp","Acc","Reward","Balance","ReactionTime","UncerCond","RewardedOrNot","RewardProp_WTA","RewardProp_PWRL","RewardProp_BISAW","RewardSucc_WTA","RewardSucc_PWRL","RewardSucc_BISAW","RewardFail_WTA","RewardFail_PWRL","RewardFail_BISAW"
"243",2,43,1,1,0,0,0,260,1033,"SU",0,0.66,0.63,0.55,66,63,55,34,37,45
"244",2,44,1,1,1,1,10,270,1200,"SU",1,0.67,0.64,0.6,67,64,60,33,36,40
"245",2,45,1,0,1,0,0,270,1233,"SU",0,0.6,0.6,0.55,60,60,55,40,40,45
"246",2,46,1,1,0,0,0,270,1016,"SU",0,0.59,0.58,0.68,59,58,68,41,42,32
"247",2,47,1,0,1,0,0,270,900,"SU",0,0.54,0.65,0.53,54,65,53,46,35,47
"248",2,48,1,1,1,1,10,280,1450,"SU",1,0.56,0.52,0.48,56,52,48,44,48,52
"249",2,49,1,0,0,1,10,290,666,"SU",1,0.55,0.49,0.56,55,49,56,45,51,44
"250",2,50,1,1,1,1,10,300,1033,"SU",1,0.66,0.59,0.58,66,59,58,34,41,42
"251",2,51,1,0,0,1,10,310,1183,"SU",1,0.54,0.63,0.68,54,63,68,46,37,32
"252",2,52,1,0,1,0,0,310,933,"SU",0,0.55,0.55,0.65,55,55,65,45,45,35
"253",2,53,1,0,1,0,0,310,1300,"SU",0,0.59,0.69,0.68,59,69,68,41,31,32
"254",2,54,1,1,1,1,10,320,2166,"SU",1,0.63,0.56,0.56,63,56,56,37,44,44
"255",2,55,1,0,1,0,0,320,766,"SU",0,0.58,0.6,0.62,58,60,62,42,40,38
